,업종명,영업자시작일,업소명,소재지지번주소,lat,lng
136,일반음식점,2003-10-27,아주커,광주광역시 동구 학동 138-4 ,35.1418789,126.9193546
137,일반음식점,2003-11-10,소태회관,광주광역시 동구 소태동 621-4 (1층) ,35.1254238,126.9344898
138,일반음식점,2003-12-08,고속회관,광주광역시 동구 지산동 194-7 (1층) ,35.1474828,126.9370831
139,일반음식점,2004-02-03,화신,"광주광역시 동구 호남동 5-9 (1,2층) ",35.1486752,126.9118866
140,일반음식점,2004-02-16,안흥국밥,광주광역시 동구 산수동 557-30 (1층) ,35.1536132,126.929717
141,일반음식점,2004-02-18,녹동숯불갈비,광주광역시 동구 월남동 335 (1층) ,35.1060204,126.9338693
142,일반음식점,2004-03-11,고흥바다장어,광주광역시 동구 금남로5가 166 (1층) ,35.1512609,126.9141558
143,일반음식점,2004-03-15,여로,광주광역시 동구 궁동 35-4 (1층) ,35.150295,126.918631
144,일반음식점,2004-03-25,일등,광주광역시 동구 계림동 544-5 ,35.1632093,126.9173404
145,일반음식점,2004-03-25,탱크카페,광주광역시 동구 산수동 522-24 (2층) ,35.1538809,126.9319656
146,일반음식점,2004-04-01,홍능갈비,광주광역시 동구 충장로1가 1-6 ,35.1477025,126.9179091
147,일반음식점,2004-04-06,흥성식당,광주광역시 동구 학동 901-76 외1필지(1층) ,35.1322552,126.9269111
148,일반음식점,2004-04-06,지산식육식당,광주광역시 동구 지산동 315 (1층) 101호 ,35.1507143,126.9371871
149,일반음식점,2004-05-10,김밥천국(충장점),광주광역시 동구 충장로1가 32 ,35.1471797,126.9172016
150,일반음식점,2004-05-31,자인세상,광주광역시 동구 학동 735-16 (2층) ,35.1327304,126.9300913
151,일반음식점,2004-06-18,무등죽,광주광역시 동구 학동 820-1 (1층) ,35.1303609,126.9336959
152,일반음식점,2004-06-29,산수실내포장마차,광주광역시 동구 산수동 371-21 (1층) ,35.1541272,126.9243466
153,일반음식점,2004-07-08,황보,광주광역시 동구 계림동 460-6 (1층) ,35.1551246,126.918128
154,일반음식점,2004-07-30,서석식당,광주광역시 동구 서석동 97-43 (1층) ,35.1438132,126.9235002
155,일반음식점,2004-08-09,종가집,광주광역시 동구 궁동 61-4 ,35.1503638,126.9179595
156,일반음식점,2004-10-15,밥'S,광주광역시 동구 지산동 500 (102호) ,35.1460869,126.931184
157,일반음식점,2004-10-29,마로니에,광주광역시 동구 금남로5가 89-3 (지하) ,35.1463993,126.9142028
158,일반음식점,2004-11-23,아구랑낙지랑,광주광역시 동구 지산동 704-60 (1층) ,35.1519559,126.9354896
159,일반음식점,2004-12-08,특미정,광주광역시 동구 계림동 570-11 ,35.1605834,126.9188285
160,휴게음식점,2004-12-29,동신다방,광주광역시 동구 충장로4가 24 (2층) ,35.1494917,126.9142726
161,일반음식점,2005-02-25,오거리포장마차,광주광역시 동구 산수동 557-9 ,35.1540403,126.9301032
162,제과점영업,2005-03-10,꽃피는 춘삼월,광주광역시 동구 선교동 410-7 ,35.090543,126.9524401
163,일반음식점,2005-03-28,본전,광주광역시 동구 대인동 327-15 1층 ,35.1542111,126.9176704
164,일반음식점,2005-04-08,평화식당,광주광역시 동구 불로동 9-1 ,35.1461073,126.9153162
165,일반음식점,2005-04-18,두레,광주광역시 동구 대인동 130 ,35.1517275,126.9159319
166,제과점영업,2005-04-27,도미노피자 금남로점,광주광역시 동구 궁동 7-7 ,35.15164499999999,126.9175946
167,일반음식점,2005-05-24,나주식당,광주광역시 동구 계림동 430 (1층) ,35.1544383,126.9180801
168,일반음식점,2005-06-03,독도식당,광주광역시 동구 계림동 387-4 (단층) ,35.1534216,126.919101
169,일반음식점,2005-06-10,곱창에소주한잔,광주광역시 동구 지산동 514-2 ,35.1456939,126.9279101
170,일반음식점,2005-06-15,도깨비스넥,광주광역시 동구 금동 16-2 (1층) ,35.1440941,126.9175947
171,일반음식점,2005-06-23,버들식당,광주광역시 동구 운림동 659-1 (1층) ,35.1320075,126.943544
172,휴게음식점,2005-06-24,대성,광주광역시 동구 금남로5가 91-1 91-2(2층) ,35.1527348,126.9134613
173,일반음식점,2005-06-30,장모사랑,광주광역시 동구 서석동 23-18 ,35.1442625,126.9242482
174,일반음식점,2005-07-01,구수숯불갈비,광주광역시 동구 산수동 517-14 (1층) ,35.1535787,126.9331647
175,휴게음식점,2005-07-01,명보,광주광역시 동구 계림동 470-32 ,35.1551113,126.9166367
176,일반음식점,2005-08-30,미가 솥단지,광주광역시 동구 계림동 485-1 (1층) ,35.1577007,126.9188238
177,일반음식점,2005-10-06,만년식당,광주광역시 동구 장동 1-11 ,35.1528054,126.9190389
178,일반음식점,2005-10-19,대왕김밥,광주광역시 동구 학동 37-4 (1층) ,35.1373321,126.9252095
179,일반음식점,2005-11-11,백두,광주광역시 동구 지산동 434-2 ,35.1492468,126.9326704
180,일반음식점,2005-11-11,뜨락,광주광역시 동구 계림동 1032 ,35.1644576,126.9198419
181,일반음식점,2005-11-22,생방송,광주광역시 동구 지산동 506-10 (지하) ,35.1449964,126.93008
182,일반음식점,2005-11-24,이삭토스트(롯데점),광주광역시 동구 금남로5가 74-5 (1층) ,35.1536864,126.9125333
183,일반음식점,2006-01-13,할매집,광주광역시 동구 계림동 289-12 (1층) ,35.1580031,126.9195837
184,휴게음식점,2006-01-25,세븐일레븐 롯데점,광주광역시 동구 금남로5가 74-5 (1층) ,35.1536864,126.9125333
185,일반음식점,2006-02-17,새동해바다,광주광역시 동구 충장로5가 66 (2층) ,35.1500194,126.9127083
186,일반음식점,2006-02-20,무진장떡볶이,광주광역시 동구 서석동 445-13 ,35.1444024,126.9295632
187,일반음식점,2006-02-22,딱좋아국밥,광주광역시 동구 산수동 550-3 1층 ,35.1581279,126.9279423
188,일반음식점,2006-03-03,원지식당,광주광역시 동구 소태동 547-13 ,35.1283211,126.9334986
189,일반음식점,2006-03-09,낙원김밥,광주광역시 동구 대인동 322-29 ,35.1553422,126.9142289
190,일반음식점,2006-03-15,"동방,양동통닭,도야족발보쌈",광주광역시 동구 서석동 422-13 (1층) ,35.1448899,126.9285308
191,일반음식점,2006-03-23,영암식당,광주광역시 동구 금남로4가 55-2 ,35.15127390000001,126.9162035
192,일반음식점,2006-03-24,제일분식,광주광역시 동구 충장로5가 80-25 (1층) ,35.1510118,126.9106033
193,일반음식점,2006-04-07,이모네맛집,광주광역시 동구 서석동 122-3 (1층) ,35.1434673,126.9220024
194,일반음식점,2006-04-19,대왕김밥,광주광역시 동구 학동 858-5 ,35.1305857,126.9291307
195,일반음식점,2006-04-20,무공해민속촌,광주광역시 동구 계림동 449-5 (1층) ,35.1545609,126.9183846
196,일반음식점,2006-04-21,명성식당,광주광역시 동구 지산동 272-1 (1층) ,35.1493056,126.9393652
197,제과점영업,2006-04-27,삼풍베이커리,광주광역시 동구 학동 750-74 ,35.1309218,126.9295268
198,일반음식점,2006-05-15,비비큐(BBQ),광주광역시 동구 학동 676-12 (1층) ,35.13284489999999,126.9310038
199,일반음식점,2006-05-16,상도,광주광역시 동구 학동 664-10 (1층) ,35.1335507,126.9284621
200,일반음식점,2006-06-15,황소솥뚜껑구이,광주광역시 동구 동명동 157-17 ,35.1514152,126.9254974
201,일반음식점,2006-07-31,투다리,광주광역시 동구 호남동 15-1 ,35.14839480000001,126.9112692
202,일반음식점,2006-08-02,까투리지원점,광주광역시 동구 소태동 653-4 (1층) ,35.1239117,126.9324908
203,일반음식점,2006-08-18,은혜분식,광주광역시 동구 계림동 190-4 (1층) ,35.1585286,126.9207929
204,일반음식점,2006-08-29,본가생태탕,광주광역시 동구 산수동 518-8 ,35.1533695,126.9329546
205,일반음식점,2006-08-29,백미,광주광역시 동구 계림동 116-15 (1층) ,35.1621856,126.9238399
